epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3325,1.51534,2.80911,1.96778,0.33372,0.29678,0.31203,0.27797,1.09421,1.31904,2.02699,0.00332061,0.00332061,0.00332061
2,145.326,1.00858,1.38175,1.77381,0.67509,0.60192,0.62126,0.54296,0.95385,1.08885,1.98588,0.00663199,0.00663199,0.00663199
3,209.763,0.95499,1.14796,1.7066,0.68012,0.67394,0.65767,0.5507,1.06484,1.50834,1.95633,0.00992136,0.00992136,0.00992136
4,277.379,0.91855,0.99084,1.68574,0.68337,0.74104,0.70116,0.59204,0.83615,1.118,1.89927,0.009901,0.009901,0.009901
5,341.097,0.87141,0.87329,1.66246,0.59614,0.63574,0.61018,0.47432,1.12715,1.08633,2.08995,0.009868,0.009868,0.009868
6,408.522,0.84588,0.81537,1.63813,0.69893,0.68815,0.74318,0.59493,0.78227,0.83702,1.82607,0.009835,0.009835,0.009835
7,472.478,0.82432,0.77403,1.61591,0.76916,0.74087,0.77657,0.6378,0.86595,0.79116,1.842,0.009802,0.009802,0.009802
8,540.893,0.80863,0.74725,1.60141,0.68189,0.67941,0.69053,0.51674,0.74887,0.95278,1.72069,0.009769,0.009769,0.009769
9,607.621,0.79347,0.72171,1.60162,0.74789,0.7862,0.81005,0.65855,0.9096,1.02443,1.85333,0.009736,0.009736,0.009736
10,674.766,0.7779,0.688,1.58651,0.71034,0.70077,0.74941,0.58997,0.80062,0.82573,1.81088,0.009703,0.009703,0.009703
11,741.832,0.76231,0.67426,1.58357,0.70047,0.68944,0.78473,0.60977,0.68491,0.6363,1.71745,0.00967,0.00967,0.00967
12,809.277,0.7555,0.66374,1.56667,0.75298,0.69199,0.75128,0.57806,0.87587,0.99599,1.78958,0.009637,0.009637,0.009637
13,876.65,0.75115,0.65701,1.56753,0.76673,0.69205,0.7924,0.60077,0.70734,0.59535,1.74882,0.009604,0.009604,0.009604
14,943.561,0.74417,0.64091,1.5672,0.63844,0.67092,0.69196,0.53024,0.78424,0.71767,1.79843,0.009571,0.009571,0.009571
15,1011.26,0.73315,0.62391,1.56671,0.62956,0.64912,0.62503,0.48091,1.21652,1.30243,2.10131,0.009538,0.009538,0.009538
16,1078.23,0.72742,0.61868,1.53987,0.70299,0.726,0.72403,0.53421,0.82986,1.01805,1.8312,0.009505,0.009505,0.009505
17,1145.22,0.72084,0.6109,1.53297,0.70622,0.69515,0.72343,0.52825,0.74618,0.61583,1.71862,0.009472,0.009472,0.009472
18,1211.55,0.70849,0.59868,1.52109,0.6587,0.7306,0.74093,0.54637,0.67665,0.67312,1.70435,0.009439,0.009439,0.009439
19,1278.39,0.71567,0.60663,1.53377,0.78241,0.69696,0.79365,0.57307,0.97894,0.84975,1.90225,0.009406,0.009406,0.009406
20,1345.96,0.70635,0.5968,1.52866,0.7276,0.7242,0.79014,0.61389,0.71299,0.63455,1.73505,0.009373,0.009373,0.009373
21,1412.78,0.70222,0.58796,1.50983,0.71717,0.70058,0.73351,0.52111,0.78327,0.65145,1.74272,0.00934,0.00934,0.00934
22,1478.17,0.6999,0.58735,1.5085,0.68361,0.69315,0.7279,0.53427,1.18604,1.08643,2.04359,0.009307,0.009307,0.009307
23,1545.07,0.6898,0.57234,1.51646,0.69358,0.71885,0.74139,0.55597,0.85264,0.72253,1.78864,0.009274,0.009274,0.009274
24,1612.02,0.68562,0.56816,1.50394,0.712,0.75149,0.78749,0.57907,0.75031,0.59903,1.72144,0.009241,0.009241,0.009241
25,1679.26,0.69403,0.58119,1.48847,0.6887,0.69219,0.69044,0.49634,0.84501,0.65848,1.77931,0.009208,0.009208,0.009208
26,1746.69,0.69961,0.58256,1.49004,0.81221,0.66125,0.7679,0.57684,0.69082,0.58707,1.67909,0.009175,0.009175,0.009175
