epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.011,1.45197,1.88573,1.11823,1,0.85773,0.92876,0.75548,1.27189,1.09344,1.03903,0.000277295,0.000277295,0.000277295
2,203.54,1.31678,1.25934,1.08352,0.87544,0.87466,0.82898,0.67943,1.20702,0.99315,1.02437,0.000549468,0.000549468,0.000549468
3,300.822,1.28516,1.12182,1.07647,0.87546,0.89409,0.8466,0.6879,1.18511,0.9168,1.02596,0.000816143,0.000816143,0.000816143
4,399.753,1.23912,1.03291,1.0621,0.87566,0.89522,0.85697,0.70621,1.13235,0.88248,1.01025,0.00080826,0.00080826,0.00080826
5,499.844,1.23232,0.99177,1.05795,0.83357,0.637,0.77084,0.59972,1.11951,0.83343,1.00319,0.000800013,0.000800013,0.000800013
6,598.669,1.19665,0.93619,1.04307,0.75372,0.90272,0.82025,0.66075,1.09453,0.82332,0.99988,0.000791767,0.000791767,0.000791767
7,695.939,1.17943,0.90642,1.03821,0.8759,0.91216,0.86223,0.7154,1.06392,0.76061,0.98662,0.00078352,0.00078352,0.00078352
8,794.379,1.16429,0.8825,1.03489,0.75276,0.8942,0.81875,0.66005,1.04411,0.75882,0.98356,0.000775273,0.000775273,0.000775273
9,895.112,1.14147,0.85422,1.02411,0.87579,0.89452,0.85959,0.7133,1.0471,0.73927,0.97908,0.000767026,0.000767026,0.000767026
10,994.289,1.13412,0.83724,1.01987,0.82723,0.703,0.83073,0.6714,1.0325,0.73101,0.97483,0.00075878,0.00075878,0.00075878
11,1094.9,1.1204,0.82055,1.01267,0.82706,0.74113,0.84599,0.68627,1.00851,0.70993,0.96685,0.000750533,0.000750533,0.000750533
12,1196.38,1.10575,0.80402,1.0094,0.80342,0.76007,0.82739,0.67495,1.01549,0.68666,0.96742,0.000742286,0.000742286,0.000742286
13,1297.78,1.10667,0.79932,1.01056,0.84138,0.66507,0.82419,0.65138,1.00287,0.67651,0.96612,0.00073404,0.00073404,0.00073404
14,1392.88,1.09278,0.78057,1.00135,0.86166,0.66769,0.83651,0.66115,0.98722,0.67129,0.95907,0.000725793,0.000725793,0.000725793
15,1488.57,1.08598,0.77782,0.99905,0.83279,0.74382,0.85523,0.69178,0.99234,0.67511,0.95948,0.000717546,0.000717546,0.000717546
16,1573.98,1.07673,0.76622,0.9974,0.83032,0.75691,0.84613,0.69051,0.97729,0.66076,0.957,0.000709299,0.000709299,0.000709299
17,1667.76,1.06833,0.76098,0.99663,0.80434,0.72493,0.84742,0.67351,0.9646,0.65538,0.95143,0.000701053,0.000701053,0.000701053
18,1767.65,1.06491,0.75375,0.99375,0.84372,0.77041,0.86745,0.70177,0.96931,0.63613,0.94846,0.000692806,0.000692806,0.000692806
19,1868.07,1.06148,0.74451,0.99325,0.80539,0.7504,0.84616,0.66762,0.9711,0.64047,0.95504,0.000684559,0.000684559,0.000684559
20,1975.36,1.03873,0.72966,0.98733,0.81234,0.71543,0.84399,0.67711,0.9646,0.62938,0.95421,0.000676313,0.000676313,0.000676313
21,2079.87,1.04043,0.72545,0.9852,0.80962,0.75274,0.86083,0.68805,0.94379,0.62036,0.94142,0.000668066,0.000668066,0.000668066
22,2179.09,1.03605,0.72093,0.98443,0.7664,0.70464,0.79749,0.62376,0.94501,0.62379,0.94705,0.000659819,0.000659819,0.000659819
23,2271.5,1.0243,0.70843,0.98147,0.79016,0.70897,0.8215,0.63479,0.94392,0.60829,0.94026,0.000651573,0.000651573,0.000651573
24,2370.38,1.02579,0.71211,0.98178,0.83812,0.74901,0.86185,0.68515,0.93666,0.60672,0.9419,0.000643326,0.000643326,0.000643326
