epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9874,1.45591,1.89757,1.11988,1,0.84697,0.92339,0.74875,1.25457,1.063,1.02566,0.000277295,0.000277295,0.000277295
2,196.313,1.32088,1.26306,1.08486,0.87562,0.8567,0.83818,0.68086,1.20983,0.98215,1.0245,0.000546378,0.000546378,0.000546378
3,298.233,1.28823,1.13791,1.08036,0.87582,0.87212,0.83465,0.68247,1.17213,0.93977,1.02319,0.000806869,0.000806869,0.000806869
4,396.364,1.25632,1.04347,1.06453,0.87612,0.86525,0.83701,0.69274,1.13945,0.89267,1.01067,0.000794344,0.000794344,0.000794344
5,497.789,1.22199,0.97758,1.05462,0.75311,0.90957,0.80108,0.64446,1.11747,0.82528,1.00458,0.000781458,0.000781458,0.000781458
6,594.491,1.1964,0.93742,1.04183,0.87553,0.87674,0.84874,0.70661,1.08863,0.81264,0.99456,0.000768573,0.000768573,0.000768573
7,695.538,1.18299,0.90235,1.03538,0.87576,0.86939,0.84817,0.70637,1.064,0.77115,0.98635,0.000755687,0.000755687,0.000755687
8,793.958,1.16427,0.88348,1.02781,0.87553,0.87825,0.86164,0.71777,1.04841,0.74957,0.98506,0.000742802,0.000742802,0.000742802
9,896.131,1.13901,0.8547,1.02341,0.80326,0.66689,0.82506,0.64133,1.0566,0.73618,0.98345,0.000729916,0.000729916,0.000729916
10,981.492,1.13595,0.84097,1.02147,0.8122,0.75248,0.83835,0.67677,1.02409,0.71842,0.97303,0.000717031,0.000717031,0.000717031
11,1094.21,1.12246,0.82371,1.01594,0.8124,0.68765,0.81774,0.64916,1.01323,0.71806,0.96964,0.000704145,0.000704145,0.000704145
12,1189.46,1.1093,0.8068,1.0104,0.87435,0.70502,0.85337,0.69296,1.02131,0.71461,0.97113,0.00069126,0.00069126,0.00069126
13,1293.31,1.10068,0.80027,1.01107,0.79321,0.71648,0.84737,0.67175,0.99748,0.6746,0.96219,0.000678374,0.000678374,0.000678374
14,1400.65,1.08883,0.78326,1.00511,0.80451,0.7179,0.82469,0.65165,0.9864,0.66701,0.9593,0.000665489,0.000665489,0.000665489
15,1517.9,1.07498,0.772,0.9991,0.83054,0.69475,0.83863,0.66163,0.98946,0.65965,0.96236,0.000652603,0.000652603,0.000652603
16,1627.85,1.06954,0.76013,0.99644,0.78581,0.7223,0.84344,0.67265,0.96954,0.64943,0.95318,0.000639718,0.000639718,0.000639718
17,1748.05,1.06928,0.75628,0.99527,0.84987,0.71973,0.85176,0.67545,0.96665,0.64592,0.95481,0.000626832,0.000626832,0.000626832
18,1871.46,1.05383,0.74072,0.99006,0.82405,0.74034,0.83447,0.66869,0.95616,0.63144,0.9503,0.000613947,0.000613947,0.000613947
19,1987.85,1.04765,0.7327,0.98728,0.84836,0.7253,0.85902,0.68411,0.94605,0.63061,0.94659,0.000601062,0.000601062,0.000601062
20,2093.59,1.04118,0.72788,0.9834,0.80129,0.76368,0.86279,0.68278,0.94087,0.62508,0.94347,0.000588176,0.000588176,0.000588176
21,2196.41,1.04371,0.72652,0.98919,0.85073,0.74681,0.8569,0.68052,0.93621,0.61281,0.94257,0.000575291,0.000575291,0.000575291
22,2298.46,1.03154,0.71449,0.98344,0.81424,0.76089,0.8528,0.68935,0.9292,0.60766,0.93816,0.000562405,0.000562405,0.000562405
23,2401,1.0257,0.7124,0.98033,0.86856,0.71475,0.84999,0.68134,0.92607,0.6096,0.94198,0.00054952,0.00054952,0.00054952
24,2508.39,1.01308,0.70303,0.97728,0.81069,0.72468,0.82197,0.64252,0.92046,0.59324,0.93571,0.000536634,0.000536634,0.000536634
25,2608.85,1.00808,0.69367,0.97021,0.8318,0.79409,0.87911,0.69664,0.9201,0.59032,0.93503,0.000523749,0.000523749,0.000523749
26,2717.31,1.00455,0.687,0.97275,0.82792,0.76226,0.8654,0.6921,0.90715,0.58534,0.93193,0.000510863,0.000510863,0.000510863
27,2823.79,0.99597,0.67533,0.96988,0.85409,0.78776,0.87723,0.70393,0.90273,0.57635,0.93175,0.000497978,0.000497978,0.000497978
28,2923.51,0.99185,0.66834,0.968,0.89841,0.7485,0.89312,0.70769,0.90211,0.57373,0.92814,0.000485092,0.000485092,0.000485092
29,3025.67,0.9857,0.67021,0.96756,0.89307,0.69928,0.82447,0.62091,0.89367,0.57382,0.92796,0.000472207,0.000472207,0.000472207
