epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3183.71,1.23419,0.7463,0.00345,0.87495,0.82224,0.9199,0.72502,1.07808,0.63629,0.00596,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3283.26,1.22965,0.74979,0.00342,0.86246,0.83343,0.9227,0.72801,1.06593,0.61946,0.00587,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3383.28,1.22372,0.74872,0.00342,0.87601,0.83506,0.92373,0.73026,1.06288,0.6336,0.00584,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3480.92,1.22464,0.74375,0.00338,0.86083,0.83483,0.92442,0.73977,1.05184,0.62662,0.00577,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3584.08,1.21418,0.73805,0.00339,0.91127,0.86256,0.95488,0.78787,1.06031,0.61657,0.00586,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3682.97,1.21015,0.7335,0.00341,0.90074,0.88307,0.95544,0.78284,1.05943,0.63176,0.00571,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3780.92,1.20991,0.73529,0.00335,0.86041,0.81134,0.9071,0.70626,1.03815,0.60293,0.0057,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3878.45,1.2028,0.71904,0.00331,0.87681,0.82692,0.91804,0.71705,1.02056,0.5908,0.00558,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3979.94,1.18857,0.71256,0.00329,0.89567,0.82487,0.92999,0.74625,1.0208,0.60384,0.0056,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4079.85,1.19439,0.71969,0.00327,0.89405,0.82498,0.92844,0.74407,1.0133,0.58558,0.00552,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4177.56,1.18806,0.70671,0.00325,0.90217,0.83969,0.93674,0.74689,1.0159,0.58215,0.00552,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4279.19,1.183,0.70836,0.00329,0.87088,0.82806,0.92252,0.72141,1.00166,0.58373,0.00544,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4379.14,1.17529,0.6984,0.00329,0.86917,0.84475,0.92519,0.72398,1.00708,0.57555,0.00543,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4478.09,1.1789,0.69619,0.00325,0.87222,0.83958,0.92561,0.72404,0.99899,0.56607,0.00547,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4577.56,1.17162,0.69409,0.00322,0.8631,0.84148,0.92388,0.72911,0.98969,0.5671,0.00542,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4676.71,1.17306,0.68869,0.0032,0.86742,0.85634,0.93104,0.7263,0.98354,0.56225,0.00532,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4775.55,1.17332,0.68692,0.00321,0.87504,0.82933,0.92567,0.72905,0.98566,0.54432,0.00532,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4880.51,1.15917,0.68085,0.00316,0.88309,0.82246,0.92238,0.7309,0.97989,0.54516,0.00531,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4976.63,1.15465,0.67187,0.00316,0.8912,0.81668,0.92699,0.73042,0.97737,0.55943,0.00527,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5078.38,1.15949,0.67547,0.00314,0.87717,0.84926,0.9281,0.72934,0.96822,0.55031,0.00518,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5176.76,1.15425,0.67198,0.00313,0.88475,0.87319,0.95689,0.78493,0.96989,0.54463,0.00522,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5275.47,1.14509,0.6738,0.00315,0.86636,0.85991,0.93164,0.74325,0.95421,0.5426,0.00516,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5373.64,1.14658,0.66414,0.00313,0.90216,0.83269,0.93184,0.7341,0.96004,0.54211,0.00525,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5477.51,1.14976,0.66463,0.00308,0.92674,0.81992,0.94133,0.74745,0.95353,0.54282,0.00518,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5576.05,1.14042,0.65379,0.00311,0.89569,0.84137,0.93549,0.74231,0.95365,0.52891,0.00517,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5672.7,1.13689,0.65512,0.00309,0.90834,0.83334,0.93747,0.75357,0.94464,0.52975,0.00511,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5773,1.13301,0.64289,0.00307,0.93468,0.81761,0.93474,0.74642,0.94854,0.52596,0.0051,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5872.13,1.13269,0.64679,0.00307,0.88005,0.85128,0.93296,0.74512,0.9364,0.52275,0.00504,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5969.19,1.12726,0.64965,0.00303,0.90397,0.86105,0.94533,0.77927,0.92728,0.53361,0.00503,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6066.03,1.12215,0.64188,0.00306,0.90778,0.84345,0.93689,0.74715,0.93374,0.5179,0.005,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6166.07,1.12413,0.64285,0.00305,0.91104,0.83725,0.93779,0.74982,0.92269,0.51401,0.00498,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6266.41,1.12119,0.63646,0.00303,0.92703,0.86124,0.94508,0.7583,0.92037,0.50876,0.00494,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6366.26,1.13008,0.63744,0.00305,0.90336,0.85505,0.93673,0.75349,0.92109,0.50612,0.00498,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6464.18,1.12625,0.63866,0.00303,0.90677,0.86285,0.94188,0.7554,0.91867,0.50964,0.00492,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6559.96,1.11615,0.63289,0.003,0.91042,0.87167,0.94581,0.76393,0.90946,0.5001,0.00488,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6656.92,1.1156,0.62558,0.00295,0.88756,0.86415,0.93684,0.75295,0.91172,0.5033,0.0049,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6758.76,1.10675,0.62542,0.00298,0.90052,0.86686,0.94148,0.75537,0.91724,0.497,0.00494,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6855.48,1.10914,0.62707,0.00297,0.88369,0.85836,0.93731,0.75529,0.90616,0.49994,0.00486,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,6952.63,1.11329,0.6338,0.00297,0.89477,0.85614,0.93839,0.75695,0.90502,0.49241,0.00486,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7055.73,1.1119,0.62365,0.00297,0.89525,0.86224,0.93403,0.75154,0.90181,0.50062,0.00483,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7152.65,1.0965,0.61894,0.00295,0.89606,0.87354,0.94033,0.76388,0.89992,0.49368,0.00484,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7252.46,1.10522,0.63017,0.00299,0.88773,0.87168,0.93542,0.74949,0.89715,0.49552,0.00481,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7349.69,1.10198,0.61741,0.00291,0.91618,0.84881,0.9356,0.75146,0.89555,0.48645,0.00481,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7448.99,1.08905,0.61225,0.00292,0.91486,0.86138,0.94817,0.76698,0.89118,0.48788,0.00476,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7547.46,1.09034,0.61149,0.0029,0.90374,0.86636,0.94051,0.75812,0.89691,0.48118,0.00479,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7645.3,1.08889,0.60912,0.00291,0.90915,0.85249,0.94009,0.76574,0.88699,0.47637,0.00476,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7743.96,1.08723,0.60506,0.00291,0.89804,0.86798,0.94246,0.76554,0.88737,0.47989,0.00475,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7841.99,1.08945,0.60613,0.00292,0.89891,0.86427,0.93739,0.75708,0.88485,0.47569,0.00474,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,7940.41,1.08533,0.60978,0.0029,0.92305,0.84965,0.94399,0.76152,0.881,0.48303,0.00474,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8038.31,1.08064,0.60038,0.0029,0.90819,0.87257,0.94108,0.76102,0.88205,0.47568,0.00475,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8135.47,1.08138,0.60287,0.00287,0.93212,0.84714,0.9458,0.76885,0.88349,0.47594,0.00475,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8232.46,1.07643,0.59839,0.00287,0.93319,0.84626,0.94381,0.76933,0.87367,0.47582,0.00467,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8332.24,1.08712,0.60688,0.00286,0.9261,0.8543,0.94869,0.76657,0.8772,0.47586,0.00469,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8428.99,1.07567,0.59383,0.00285,0.88665,0.88116,0.94071,0.76514,0.87735,0.47177,0.00466,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8529.98,1.06653,0.59082,0.00282,0.90661,0.87223,0.94651,0.7681,0.8779,0.46535,0.00466,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8627.62,1.06274,0.59218,0.00285,0.88967,0.88282,0.94207,0.76774,0.87603,0.46769,0.00468,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8724.45,1.07511,0.59217,0.00286,0.88982,0.88185,0.9416,0.76839,0.87363,0.46311,0.00467,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8821.86,1.0582,0.59055,0.00282,0.89964,0.86472,0.94037,0.76826,0.86704,0.45892,0.00463,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,8923.32,1.061,0.58521,0.00282,0.91927,0.85584,0.94396,0.77302,0.86223,0.4654,0.00459,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9020.47,1.06583,0.58717,0.0028,0.91474,0.86792,0.94648,0.76567,0.85735,0.46754,0.00457,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9118.62,1.05827,0.58662,0.00283,0.88904,0.883,0.94752,0.77214,0.85793,0.46272,0.00456,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9219.72,1.06534,0.58241,0.00279,0.8947,0.88282,0.94807,0.76977,0.85906,0.46285,0.00458,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9316.66,1.05771,0.57959,0.00281,0.91389,0.87035,0.9491,0.77913,0.85526,0.46045,0.00455,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,9413.16,1.05413,0.58219,0.00277,0.91518,0.85798,0.94651,0.77806,0.85604,0.46001,0.00456,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,9516.45,1.05576,0.57964,0.00274,0.91653,0.85918,0.94642,0.77612,0.85352,0.45624,0.00455,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,9614.57,1.04858,0.57192,0.00278,0.91989,0.86772,0.94757,0.77935,0.84864,0.45033,0.0045,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,9712.83,1.05344,0.57864,0.0028,0.9069,0.88293,0.95185,0.78178,0.84434,0.4474,0.00449,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,9810.98,1.05076,0.5769,0.00277,0.93261,0.85754,0.95037,0.78075,0.84605,0.44975,0.00452,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,9912.57,1.04672,0.56864,0.00276,0.90225,0.87726,0.94684,0.7784,0.84556,0.45623,0.00449,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,10011,1.04704,0.57249,0.00277,0.91428,0.88607,0.95021,0.7834,0.84861,0.44493,0.00449,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,10109.4,1.0458,0.56943,0.00278,0.91166,0.87535,0.94578,0.78124,0.84756,0.44953,0.00451,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,10209,1.04639,0.56984,0.00271,0.90612,0.87629,0.94666,0.78287,0.84612,0.45249,0.00448,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,10308.6,1.03287,0.56215,0.00273,0.90374,0.88026,0.94503,0.77984,0.84465,0.44777,0.00446,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,10406.1,1.04876,0.56816,0.00275,0.89716,0.88607,0.94472,0.78192,0.83934,0.44967,0.00442,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,10506.8,1.04392,0.56526,0.00271,0.92956,0.85422,0.94127,0.77991,0.83411,0.44938,0.00441,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,10604.1,1.0413,0.56391,0.0027,0.89991,0.88229,0.93956,0.77806,0.83065,0.44808,0.00439,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,10702.8,1.02257,0.5576,0.00274,0.91986,0.87237,0.94258,0.77694,0.83397,0.44025,0.00442,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,10802.4,1.03649,0.56426,0.0027,0.91716,0.88067,0.9475,0.77945,0.8308,0.44158,0.00441,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,10899.8,1.03508,0.5581,0.00271,0.93387,0.86842,0.94839,0.78152,0.83248,0.44038,0.00443,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,10998.3,1.03276,0.56279,0.00272,0.90509,0.8872,0.94784,0.78177,0.83399,0.44041,0.00443,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,11096.1,1.02587,0.54904,0.00271,0.91142,0.88635,0.94934,0.7822,0.83133,0.44199,0.00443,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,11195.7,1.02674,0.55337,0.00268,0.91443,0.88687,0.94934,0.7856,0.8277,0.44068,0.0044,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,11295.6,1.02424,0.55129,0.00268,0.9318,0.87304,0.94933,0.78727,0.82506,0.44158,0.0044,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,11393.5,1.02698,0.55372,0.00266,0.92316,0.87914,0.95028,0.78857,0.82595,0.43838,0.00439,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,11492.2,1.01917,0.54944,0.00267,0.92863,0.87781,0.94857,0.7889,0.82423,0.44143,0.00437,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,11589.8,1.0242,0.55064,0.00268,0.93558,0.87285,0.94873,0.7883,0.82213,0.44288,0.00436,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,11690.3,1.02698,0.55225,0.00264,0.9337,0.87578,0.9493,0.78999,0.8224,0.43527,0.00435,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,11788.8,1.01472,0.54581,0.00267,0.92962,0.87877,0.94986,0.78948,0.81997,0.43799,0.00433,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,11889.2,1.01082,0.54396,0.00266,0.92857,0.8712,0.9513,0.78957,0.8212,0.43592,0.00432,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,11987.2,1.01064,0.54545,0.00263,0.93229,0.87408,0.94937,0.78938,0.81945,0.43969,0.00432,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,12084.5,1.02704,0.54816,0.00266,0.93629,0.88167,0.95107,0.7909,0.81735,0.4351,0.00432,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,12186.2,1.01079,0.5367,0.00264,0.93502,0.87789,0.95105,0.79296,0.81722,0.4333,0.00432,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,12283.9,1.00871,0.53325,0.00263,0.92198,0.88415,0.95018,0.79337,0.81382,0.43557,0.00431,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,12381.6,1.0059,0.53451,0.00263,0.93038,0.87989,0.95152,0.79472,0.81263,0.43292,0.0043,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,12485,1.0059,0.53854,0.00264,0.92523,0.88759,0.95112,0.79354,0.81211,0.43035,0.0043,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,12584.1,1.01084,0.5353,0.00262,0.92583,0.88184,0.94991,0.79376,0.81159,0.42972,0.0043,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,12680.9,1.00026,0.53018,0.0026,0.92841,0.87794,0.94998,0.79342,0.81259,0.42582,0.0043,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,12777.5,1.00436,0.5348,0.0026,0.93072,0.87693,0.94887,0.79332,0.81074,0.42268,0.0043,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,12876.1,0.99854,0.53566,0.00262,0.93433,0.86889,0.94952,0.79498,0.80889,0.42335,0.00429,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,12974,1.00285,0.53247,0.0026,0.92595,0.87632,0.94702,0.79284,0.80888,0.42458,0.00429,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,13070.8,0.99755,0.5311,0.00258,0.91409,0.88911,0.94715,0.7918,0.81027,0.42305,0.00429,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
