epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,,,
42,916.105,1.13866,0.72604,0.89053,0.85714,0.72582,0.79139,0.64692,1.13891,0.70463,0.91559,0.007294,0.007294,0.007294,,,
43,979.927,1.14963,0.72908,0.89419,0.85714,0.71,0.78349,0.64369,1.10265,0.72154,0.91546,0.007228,0.007228,0.007228,,,
44,1043.92,1.14102,0.72236,0.89229,0.71838,0.67259,0.70187,0.55449,1.26059,0.89353,0.95191,0.007162,0.007162,0.007162,,,
45,1107.87,1.13854,0.72379,0.88988,0.85714,0.75646,0.80666,0.66109,1.06071,0.65422,0.89985,0.007096,0.007096,0.007096,,,
46,1171.85,1.12749,0.71554,0.88765,0.80758,0.58261,0.67451,0.49745,1.42333,0.82286,0.97314,0.00703,0.00703,0.00703,,,
47,1235.79,1.11507,0.70594,0.88579,0.85714,0.70544,0.78125,0.6412,1.17489,0.75377,0.9241,0.006964,0.006964,0.006964,,,
48,1299.77,1.12513,0.71403,0.8899,0.85738,0.75272,0.80393,0.66328,1.04477,0.64185,0.89831,0.006898,0.006898,0.006898,,,
49,1363.81,1.11502,0.70232,0.88744,0.85714,0.70935,0.78314,0.64359,1.21086,0.76193,0.93339,0.006832,0.006832,0.006832,,,
50,1427.77,1.10715,0.69469,0.8838,0.85737,0.77058,0.81281,0.67232,1.0024,0.60309,0.88647,0.006766,0.006766,0.006766,,,
51,1491.72,1.10454,0.69675,0.8843,0.85727,0.74989,0.80242,0.66856,1.00784,0.62424,0.88907,0.0067,0.0067,0.0067,,,
52,1555.52,1.09033,0.68625,0.88323,0.71936,0.75027,0.74236,0.59314,1.054,0.62025,0.89948,0.006634,0.006634,0.006634,,,
53,1619.56,1.09274,0.68631,0.88053,0.71862,0.71718,0.7279,0.57957,1.09977,0.68506,0.90994,0.006568,0.006568,0.006568,,,
54,1683.6,1.09078,0.68437,0.8832,0.7191,0.75389,0.73341,0.58809,1.00106,0.60377,0.88765,0.006502,0.006502,0.006502,,,
55,1747.72,1.08176,0.67516,0.87903,0.71851,0.76011,0.74128,0.5939,1.03185,0.60618,0.89513,0.006436,0.006436,0.006436,,,
56,1811.61,1.08429,0.6745,0.88185,0.71923,0.75436,0.75307,0.59693,1.07921,0.63955,0.9041,0.00637,0.00637,0.00637,,,
57,1875.56,1.06906,0.66166,0.87621,0.85714,0.74864,0.80271,0.65326,1.2187,0.65011,0.92846,0.006304,0.006304,0.006304,,,
58,1939.6,1.06585,0.6676,0.87672,0.85714,0.76019,0.80847,0.6678,1.06574,0.60256,0.8981,0.006238,0.006238,0.006238,,,
59,2003.56,1.06496,0.66316,0.87503,0.71905,0.71952,0.73315,0.59111,1.01879,0.64209,0.89437,0.006172,0.006172,0.006172,,,
60,2067.46,1.06748,0.66227,0.87748,0.85735,0.77311,0.81322,0.6655,1.11582,0.60466,0.90634,0.006106,0.006106,0.006106,,,
61,2131.56,1.05231,0.65472,0.87294,0.85089,0.60717,0.71987,0.55234,1.08364,0.62266,0.90401,0.00604,0.00604,0.00604,,,
62,2195.58,1.0603,0.65526,0.87305,0.85728,0.76408,0.80954,0.66969,1.01335,0.59616,0.88943,0.005974,0.005974,0.005974,,,
63,2259.54,1.05049,0.64776,0.87128,0.93952,0.65093,0.77799,0.62266,1.05096,0.62185,0.89715,0.005908,0.005908,0.005908,,,
64,2323.51,1.05159,0.65171,0.8731,0.71869,0.7709,0.73743,0.59288,1.02385,0.59741,0.89111,0.005842,0.005842,0.005842,,,
65,2387.47,1.04263,0.63979,0.86917,0.71959,0.78099,0.752,0.59782,1.00632,0.58655,0.88802,0.005776,0.005776,0.005776,,,
66,2451.39,1.04234,0.64461,0.86981,0.91774,0.68921,0.79802,0.63688,1.00357,0.58676,0.88793,0.00571,0.00571,0.00571,,,
67,2515.35,1.03832,0.63898,0.86965,0.71934,0.78201,0.74917,0.60422,0.96485,0.56813,0.88154,0.005644,0.005644,0.005644,,,
68,2579.23,1.02786,0.63338,0.86643,0.71904,0.77663,0.76796,0.61632,0.94157,0.56332,0.87599,0.005578,0.005578,0.005578,,,
69,2643.15,1.02403,0.63234,0.86655,0.71921,0.77517,0.76264,0.61339,0.96114,0.55979,0.87825,0.005512,0.005512,0.005512,,,
70,2707.11,1.02591,0.63033,0.86947,0.82627,0.66221,0.7322,0.55924,1.10199,0.5929,0.90421,0.005446,0.005446,0.005446,,,
71,2771.01,1.01897,0.62492,0.86564,0.71956,0.76587,0.7346,0.59216,1.05064,0.57486,0.89318,0.00538,0.00538,0.00538,,,
72,2834.89,1.02352,0.6261,0.86921,0.87952,0.72295,0.75634,0.60414,1.07083,0.58144,0.90081,0.005314,0.005314,0.005314,,,
73,2898.75,1.00544,0.61619,0.86497,0.83102,0.65029,0.72935,0.5547,1.06135,0.5943,0.89798,0.005248,0.005248,0.005248,,,
74,2962.62,1.01447,0.61861,0.86637,0.83725,0.63489,0.73845,0.57723,0.97205,0.55377,0.88059,0.005182,0.005182,0.005182,,,
75,3026.56,1.00711,0.61818,0.86304,0.82727,0.63541,0.72666,0.55718,1.05955,0.62875,0.9033,0.005116,0.005116,0.005116,,,
76,3090.54,1.0013,0.61479,0.86372,0.72048,0.78443,0.75934,0.60986,0.97763,0.55382,0.88165,0.00505,0.00505,0.00505,,,
77,3154.51,0.99701,0.60754,0.86063,0.85775,0.78018,0.81497,0.66766,1.11045,0.58969,0.90717,0.004984,0.004984,0.004984,,,
78,3218.38,0.99159,0.60302,0.86201,0.85749,0.78496,0.81798,0.68063,0.97606,0.55154,0.88111,0.004918,0.004918,0.004918,,,
79,3282.27,0.98844,0.6036,0.8608,0.72088,0.78439,0.76336,0.60643,1.07657,0.57308,0.89714,0.004852,0.004852,0.004852,,,
80,3346.21,0.98995,0.60308,0.85958,0.72308,0.77854,0.75547,0.60832,1.00826,0.5686,0.88691,0.004786,0.004786,0.004786,,,
81,83.3426,0.96573,0.58311,0.8547,0.82363,0.66762,0.74231,0.57369,1.04604,0.55797,0.89425,0.00472,0.00472,0.00472,,,
82,75.462,0.89245,0.53513,0.84201,0.82743,0.66147,0.74064,0.57461,1.00294,0.54805,0.88696,0.004654,0.004654,0.004654,,,
83,142.772,0.96697,0.58843,0.8572,0.82969,0.67972,0.74224,0.58012,0.89328,0.52728,0.86575,0.004588,0.004588,0.004588,,,
84,212.37,0.97063,0.5878,0.85576,0.83167,0.66392,0.74703,0.57742,0.97273,0.54251,0.87911,0.004522,0.004522,0.004522,,,
85,281.786,0.96261,0.57477,0.85541,0.72216,0.78648,0.76773,0.61846,0.95679,0.5389,0.87775,0.004456,0.004456,0.004456,,,
86,351.036,0.95062,0.57867,0.85449,0.87636,0.75226,0.76358,0.61506,0.98311,0.53687,0.88079,0.00439,0.00439,0.00439,,,
87,420.379,0.95416,0.57728,0.85536,0.83247,0.66918,0.74251,0.57159,1.01922,0.55023,0.88748,0.004324,0.004324,0.004324,,,
88,489.215,0.95308,0.57598,0.85418,0.84535,0.67743,0.7519,0.57968,0.92252,0.52353,0.87095,0.004258,0.004258,0.004258,,,
89,558.066,0.95348,0.57715,0.85255,0.84621,0.65869,0.7405,0.56824,1.08111,0.55752,0.89866,0.004192,0.004192,0.004192,,,
90,625.093,0.95531,0.57819,0.85436,0.88483,0.71404,0.75635,0.61577,0.93459,0.52632,0.8749,0.004126,0.004126,0.004126,,,
91,694.417,0.94645,0.5714,0.85214,0.88595,0.71005,0.75448,0.61943,0.93424,0.52175,0.87453,0.00406,0.00406,0.00406,,,
92,761.183,0.93433,0.56434,0.85148,0.88142,0.74117,0.77302,0.62857,0.91498,0.51584,0.87014,0.003994,0.003994,0.003994,,,
93,830.499,0.94065,0.56795,0.85266,0.87918,0.75209,0.77659,0.62482,0.91499,0.51438,0.8704,0.003928,0.003928,0.003928,,,
94,898.15,0.93242,0.55949,0.84969,0.88731,0.71908,0.76993,0.62105,0.94812,0.51949,0.87434,0.003862,0.003862,0.003862,,,
95,965.561,0.92995,0.56004,0.84913,0.85855,0.66832,0.76422,0.58303,0.9967,0.5297,0.8842,0.003796,0.003796,0.003796,,,
96,1034.84,0.93984,0.56345,0.85128,0.84097,0.69404,0.76696,0.58212,0.99944,0.53692,0.88405,0.00373,0.00373,0.00373,,,
97,1101.43,0.92864,0.55717,0.8493,0.85047,0.67672,0.76071,0.57893,1.02493,0.53442,0.88971,0.003664,0.003664,0.003664,,,
98,1168.92,0.93093,0.55831,0.84878,0.87756,0.76012,0.76342,0.61538,1.01503,0.52648,0.88575,0.003598,0.003598,0.003598,,,
99,1236.45,0.91997,0.55337,0.84646,0.83747,0.68443,0.75006,0.58061,0.97646,0.5206,0.87994,0.003532,0.003532,0.003532,,,
100,1304.46,0.91174,0.54893,0.84663,0.87952,0.75119,0.77778,0.62263,0.96077,0.51651,0.8773,0.003466,0.003466,0.003466,,,
101,1372.99,0.91912,0.55235,0.84842,0.85243,0.67157,0.76322,0.59695,0.91675,0.50886,0.87007,0.0034,0.0034,0.0034,,,
102,1440.86,0.91128,0.54719,0.84656,0.85851,0.66165,0.76249,0.58667,0.98478,0.52178,0.8807,0.003334,0.003334,0.003334,,,
103,1507.94,0.90829,0.54193,0.8447,0.88625,0.73879,0.7718,0.62322,0.99949,0.522,0.8841,0.003268,0.003268,0.003268,,,
104,1577.19,0.90264,0.54106,0.84523,0.89185,0.72502,0.7803,0.62889,0.93633,0.51051,0.87454,0.003202,0.003202,0.003202,,,
105,1644.19,0.89739,0.53652,0.84539,0.88902,0.72749,0.77594,0.6282,0.9217,0.50408,0.87058,0.003136,0.003136,0.003136,,,
106,1713.69,0.89777,0.536,0.84265,0.8546,0.68384,0.7615,0.58794,0.97296,0.51273,0.87873,0.00307,0.00307,0.00307,,,
107,1779.91,0.89164,0.5355,0.84469,0.89156,0.72157,0.77027,0.62606,0.92534,0.50153,0.87121,0.003004,0.003004,0.003004,,,
108,1849.17,0.89371,0.53352,0.84286,0.89174,0.71844,0.76761,0.62387,0.9304,0.50413,0.87163,0.002938,0.002938,0.002938,,,
