epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5776.5,0.77661,0.48398,0.89548,0.91458,0.87534,0.94,0.75966,0.74237,0.44249,0.89353,0.0067528,0.0067528,0.0067528
43,5914.94,0.77882,0.48381,0.89889,0.90941,0.88244,0.94947,0.76662,0.73814,0.43231,0.89048,0.0066736,0.0066736,0.0066736
44,6054.85,0.77079,0.47957,0.89509,0.90726,0.88791,0.94507,0.76297,0.74223,0.43589,0.88728,0.0065944,0.0065944,0.0065944
45,6191.76,0.76643,0.47417,0.89339,0.94051,0.85909,0.94354,0.77028,0.73456,0.43451,0.8899,0.0065152,0.0065152,0.0065152
46,6332.67,0.76206,0.47442,0.89373,0.90396,0.88652,0.94877,0.76721,0.73171,0.43035,0.88762,0.006436,0.006436,0.006436
47,6469.55,0.75783,0.47034,0.89164,0.91468,0.89142,0.95234,0.77491,0.72458,0.42835,0.88531,0.0063568,0.0063568,0.0063568
48,6607.67,0.75162,0.46441,0.88906,0.93132,0.88483,0.958,0.77835,0.72207,0.42329,0.88266,0.0062776,0.0062776,0.0062776
49,6747.94,0.74591,0.4598,0.88542,0.9219,0.88258,0.95605,0.77367,0.72305,0.42177,0.88757,0.0061984,0.0061984,0.0061984
50,6884.03,0.74513,0.45895,0.88566,0.91375,0.87655,0.95024,0.77226,0.71828,0.42019,0.88552,0.0061192,0.0061192,0.0061192
51,7023.86,0.74199,0.45911,0.88492,0.93605,0.88359,0.95642,0.78381,0.71676,0.41728,0.87887,0.00604,0.00604,0.00604
52,7161.24,0.73914,0.45526,0.88238,0.94,0.87776,0.95511,0.78337,0.70278,0.41393,0.87707,0.0059608,0.0059608,0.0059608
53,7299.73,0.73183,0.45204,0.88298,0.93897,0.86619,0.93531,0.72788,0.71033,0.40973,0.87563,0.0058816,0.0058816,0.0058816
54,7437.46,0.726,0.44954,0.88132,0.92436,0.90175,0.9562,0.78087,0.70666,0.4112,0.87802,0.0058024,0.0058024,0.0058024
55,7574.36,0.72483,0.44655,0.87962,0.9418,0.89098,0.95884,0.78536,0.70439,0.40935,0.87417,0.0057232,0.0057232,0.0057232
56,7711.18,0.71782,0.44198,0.87999,0.92791,0.89846,0.95727,0.78969,0.70128,0.40538,0.87535,0.005644,0.005644,0.005644
57,7848.81,0.71981,0.4431,0.88069,0.92309,0.87172,0.93617,0.74243,0.69644,0.40649,0.87613,0.0055648,0.0055648,0.0055648
58,7985.45,0.71522,0.43894,0.87661,0.93837,0.88153,0.96169,0.78924,0.69678,0.40218,0.87636,0.0054856,0.0054856,0.0054856
59,8124.74,0.70867,0.4378,0.8759,0.90575,0.89596,0.94433,0.74959,0.69414,0.39964,0.87488,0.0054064,0.0054064,0.0054064
60,8259.88,0.70889,0.43625,0.87689,0.93629,0.89765,0.96264,0.79558,0.69419,0.39565,0.87273,0.0053272,0.0053272,0.0053272
61,8396.03,0.70244,0.43241,0.87663,0.93403,0.88022,0.96106,0.79704,0.68605,0.39531,0.86903,0.005248,0.005248,0.005248
62,8533.69,0.70443,0.43117,0.87516,0.92147,0.88245,0.94128,0.74918,0.6845,0.3932,0.87206,0.0051688,0.0051688,0.0051688
63,8668.85,0.69249,0.42407,0.87219,0.9118,0.89906,0.94669,0.74977,0.68791,0.39386,0.87038,0.0050896,0.0050896,0.0050896
64,8804.26,0.69716,0.42682,0.87311,0.93114,0.88666,0.9407,0.74791,0.68312,0.39217,0.86819,0.0050104,0.0050104,0.0050104
65,8941.46,0.68532,0.42187,0.87033,0.91906,0.88561,0.94093,0.74993,0.67922,0.39171,0.86803,0.0049312,0.0049312,0.0049312
