epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4845,1.42934,2.01845,1.15124,1,0.81475,0.90732,0.75152,1.24191,1.13304,1.04797,0.00332222,0.00332222,0.00332222
2,167.858,1.32728,1.31986,1.08821,1,0.82244,0.91113,0.7505,1.29015,1.13138,1.07066,0.00660675,0.00660675,0.00660675
3,245.333,1.33711,1.23708,1.09424,1,0.88683,0.9433,0.77193,1.26906,1.05316,1.08292,0.00984239,0.00984239,0.00984239
4,321.416,1.33637,1.16914,1.09932,1,0.87956,0.9397,0.76826,1.22972,1.04679,1.06151,0.00978,0.00978,0.00978
5,396.282,1.28795,1.05605,1.08124,1,0.9051,0.95242,0.78266,1.19213,1.0066,1.04709,0.00970667,0.00970667,0.00970667
6,471.754,1.2536,0.99581,1.06996,1,0.91427,0.95697,0.78343,1.18606,0.90709,1.04384,0.00963333,0.00963333,0.00963333
7,550.47,1.22211,0.93236,1.0578,1,0.90799,0.95381,0.7889,1.1547,0.83374,1.02973,0.00956,0.00956,0.00956
8,625.03,1.19221,0.89718,1.04518,1,0.91397,0.95682,0.78497,1.1173,0.80119,1.02495,0.00948667,0.00948667,0.00948667
9,701.399,1.16849,0.86511,1.03746,0.85326,0.72261,0.86539,0.6698,1.0845,0.77448,1.01161,0.00941333,0.00941333,0.00941333
10,780.521,1.14386,0.83201,1.02847,0.83582,0.9223,0.91129,0.73027,1.07177,0.77353,1.00395,0.00934,0.00934,0.00934
11,857.033,1.13874,0.81908,1.02668,0.89869,0.77549,0.91245,0.73151,1.08315,0.75404,1.01088,0.00926667,0.00926667,0.00926667
12,932.612,1.11883,0.79757,1.01634,1,0.92821,0.96389,0.80577,1.0753,0.74175,1.00795,0.00919333,0.00919333,0.00919333
13,1007.78,1.11057,0.78511,1.01243,0.88691,0.81905,0.90156,0.73387,1.05671,0.7694,0.99682,0.00912,0.00912,0.00912
14,1082.77,1.08924,0.76384,1.00581,0.8643,0.85215,0.92466,0.74306,1.03646,0.70418,0.98776,0.00904667,0.00904667,0.00904667
15,1162.15,1.0841,0.75538,1.00186,0.89637,0.83397,0.93406,0.75542,1.02839,0.68894,0.98404,0.00897333,0.00897333,0.00897333
16,1236.65,1.06828,0.7391,0.99632,0.88871,0.78094,0.9219,0.7273,1.00999,0.66662,0.98476,0.0089,0.0089,0.0089
17,1312.07,1.06019,0.72967,0.99394,0.91151,0.85171,0.93636,0.75936,1.00435,0.70383,0.98202,0.00882667,0.00882667,0.00882667
18,1389.26,1.05336,0.72365,0.9943,0.88102,0.76195,0.91709,0.72997,0.97912,0.64888,0.9627,0.00875333,0.00875333,0.00875333
19,1467.34,1.03874,0.71084,0.98828,0.89737,0.81147,0.93531,0.74157,0.9735,0.64846,0.96291,0.00868,0.00868,0.00868
20,1541.69,1.03272,0.70104,0.98488,0.85877,0.7877,0.90945,0.72726,0.96628,0.63834,0.96015,0.00860667,0.00860667,0.00860667
21,1619.53,1.02866,0.69908,0.98292,0.88064,0.79413,0.92353,0.73831,0.97595,0.64053,0.95789,0.00853333,0.00853333,0.00853333
22,1695.51,1.02317,0.68896,0.97944,0.8346,0.76805,0.86607,0.6616,0.96585,0.63194,0.96126,0.00846,0.00846,0.00846
23,1771.67,1.01121,0.6813,0.97838,0.85918,0.808,0.93175,0.7365,0.95631,0.62149,0.95477,0.00838667,0.00838667,0.00838667
24,1847.2,1.00621,0.67685,0.97311,0.90427,0.7751,0.93908,0.7472,0.9376,0.62439,0.95243,0.00831333,0.00831333,0.00831333
25,1922.35,0.99233,0.66466,0.97073,0.88156,0.80395,0.93401,0.75112,0.9444,0.61715,0.95412,0.00824,0.00824,0.00824
26,1999.56,0.98704,0.65846,0.96516,0.91159,0.83103,0.95045,0.76422,0.93166,0.60632,0.95551,0.00816667,0.00816667,0.00816667
27,2075.14,0.98781,0.65857,0.96687,0.86148,0.77448,0.89395,0.68748,0.93551,0.6051,0.94685,0.00809333,0.00809333,0.00809333
28,2151.46,0.97143,0.64604,0.96219,0.90322,0.78663,0.93177,0.74498,0.93584,0.59987,0.94191,0.00802,0.00802,0.00802
29,2226.63,0.97142,0.64527,0.96156,0.89371,0.83078,0.93475,0.75047,0.92985,0.60006,0.94794,0.00794667,0.00794667,0.00794667
30,2303.76,0.96717,0.64082,0.96071,0.91682,0.82759,0.94774,0.76335,0.91148,0.57962,0.94401,0.00787333,0.00787333,0.00787333
31,2381.36,0.96174,0.63538,0.95922,0.90589,0.80726,0.93925,0.7555,0.90532,0.58216,0.94162,0.0078,0.0078,0.0078
32,2455.41,0.95893,0.63109,0.95708,0.88506,0.83364,0.94555,0.76044,0.9034,0.57193,0.93464,0.00772667,0.00772667,0.00772667
33,2532.66,0.95071,0.62442,0.95184,0.89945,0.80031,0.93056,0.7536,0.90179,0.57661,0.93489,0.00765333,0.00765333,0.00765333
34,2608.75,0.94346,0.62105,0.94959,0.91535,0.83616,0.95595,0.77231,0.88638,0.56716,0.93315,0.00758,0.00758,0.00758
35,2683.99,0.94162,0.61604,0.94994,0.89843,0.827,0.95175,0.76712,0.89203,0.56208,0.93185,0.00750667,0.00750667,0.00750667
36,2759.42,0.93596,0.61238,0.94771,0.90908,0.84923,0.94221,0.76359,0.88576,0.55644,0.92967,0.00743333,0.00743333,0.00743333
37,2833.47,0.93286,0.60726,0.94747,0.87698,0.81165,0.90975,0.71328,0.87861,0.55544,0.92874,0.00736,0.00736,0.00736
38,2911.07,0.92961,0.60657,0.94527,0.86576,0.82218,0.91271,0.72054,0.87213,0.55115,0.92357,0.00728667,0.00728667,0.00728667
39,2988.31,0.92537,0.60033,0.94371,0.90804,0.80677,0.92419,0.72852,0.86341,0.54188,0.92293,0.00721333,0.00721333,0.00721333
40,3063.02,0.9192,0.60123,0.94318,0.89993,0.81897,0.92804,0.72665,0.86475,0.54149,0.92587,0.00714,0.00714,0.00714
41,3140.28,0.91454,0.59464,0.94026,0.94546,0.81272,0.95524,0.78178,0.85853,0.53479,0.92455,0.00706667,0.00706667,0.00706667
42,3217.08,0.90764,0.59157,0.93817,0.92064,0.84709,0.95674,0.77929,0.85408,0.53152,0.91799,0.00699333,0.00699333,0.00699333
43,3291.69,0.90609,0.586,0.93653,0.91762,0.85198,0.9582,0.77707,0.85626,0.52914,0.9212,0.00692,0.00692,0.00692
44,3366.59,0.90231,0.58783,0.93833,0.91339,0.84781,0.95991,0.78684,0.85033,0.53113,0.91643,0.00684667,0.00684667,0.00684667
45,3441.22,0.89622,0.58011,0.93556,0.87285,0.8374,0.92561,0.73084,0.84721,0.52662,0.91808,0.00677333,0.00677333,0.00677333
46,3520.04,0.89503,0.57718,0.93426,0.87547,0.83609,0.92365,0.73076,0.83863,0.52147,0.91613,0.0067,0.0067,0.0067
47,3595.8,0.89615,0.5777,0.93191,0.91463,0.81857,0.92663,0.74255,0.83199,0.51867,0.90868,0.00662667,0.00662667,0.00662667
48,3670.1,0.8928,0.57391,0.93126,0.90702,0.84902,0.93444,0.74008,0.83321,0.5131,0.91274,0.00655333,0.00655333,0.00655333
49,3745.22,0.88462,0.56873,0.92792,0.91194,0.84195,0.93277,0.74526,0.83487,0.51275,0.91055,0.00648,0.00648,0.00648
