epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3487,1.49276,2.10444,1.19528,1,0.7931,0.89647,0.73043,1.2735,1.16156,1.08163,0.00332442,0.00332442,0.00332442
2,158.687,1.38551,1.42723,1.15048,1,0.81173,0.90577,0.73488,1.33642,1.14363,1.09271,0.0066248,0.0066248,0.0066248
3,233.913,1.39054,1.35271,1.14951,1,0.77184,0.88585,0.72603,1.31265,1.12223,1.10085,0.00989218,0.00989218,0.00989218
4,308.788,1.38732,1.281,1.15422,1,0.78086,0.89036,0.73351,1.26781,1.07254,1.09411,0.0098515,0.0098515,0.0098515
5,384.337,1.33273,1.16524,1.13674,0.87545,0.83259,0.83077,0.68037,1.20982,0.96648,1.05982,0.009802,0.009802,0.009802
6,460.454,1.29181,1.07336,1.11969,0.87592,0.86291,0.83086,0.68281,1.18155,0.93535,1.04869,0.0097525,0.0097525,0.0097525
7,537.947,1.2635,1.01254,1.1076,0.87556,0.8551,0.82423,0.68478,1.17899,0.91507,1.04625,0.009703,0.009703,0.009703
8,616.957,1.23741,0.9641,1.09631,0.87606,0.88413,0.8439,0.69128,1.13794,0.85304,1.04277,0.0096535,0.0096535,0.0096535
9,694.535,1.225,0.9432,1.09148,0.78869,0.76763,0.80115,0.6486,1.10377,0.82598,1.02342,0.009604,0.009604,0.009604
10,770.156,1.1999,0.91149,1.08359,1,0.90428,0.95139,0.77554,1.11799,0.82268,1.01439,0.0095545,0.0095545,0.0095545
11,849.166,1.18885,0.88412,1.0773,0.75324,0.8786,0.79986,0.64777,1.07499,0.81614,1.01117,0.009505,0.009505,0.009505
12,924.763,1.16884,0.86183,1.06563,0.87617,0.89698,0.85618,0.70478,1.07354,0.79039,1.01366,0.0094555,0.0094555,0.0094555
13,1003.5,1.16462,0.8589,1.06364,0.87565,0.90895,0.85391,0.71059,1.07171,0.79578,1.01111,0.009406,0.009406,0.009406
14,1080.7,1.14558,0.82447,1.05944,0.77889,0.64758,0.79358,0.62716,1.04771,0.73399,0.99793,0.0093565,0.0093565,0.0093565
15,1159.84,1.13452,0.81828,1.05344,0.79036,0.68264,0.80171,0.62389,1.05251,0.73205,0.99325,0.009307,0.009307,0.009307
16,1239.6,1.12335,0.80276,1.04375,0.81352,0.73859,0.83826,0.67792,1.04441,0.72392,1.00127,0.0092575,0.0092575,0.0092575
17,1316.52,1.10957,0.78967,1.04182,0.80195,0.69103,0.8166,0.64905,1.02021,0.70952,0.99233,0.009208,0.009208,0.009208
18,1396.69,1.10237,0.77917,1.03927,0.75773,0.71879,0.80952,0.6407,1.021,0.691,0.9883,0.0091585,0.0091585,0.0091585
19,1474.84,1.09427,0.76824,1.03608,0.83037,0.65268,0.82811,0.65767,1.00574,0.68835,0.97982,0.009109,0.009109,0.009109
20,1552.89,1.08113,0.75398,1.02599,0.80909,0.71061,0.83085,0.65635,1.00075,0.68638,0.98002,0.0090595,0.0090595,0.0090595
21,1629.49,1.07574,0.7482,1.02958,0.83116,0.75696,0.84383,0.68649,0.99203,0.66828,0.97029,0.00901,0.00901,0.00901
22,1709.94,1.06746,0.74091,1.02374,0.84718,0.72715,0.85067,0.66682,0.99747,0.66291,0.97548,0.0089605,0.0089605,0.0089605
23,1789.01,1.06378,0.73357,1.02106,0.80256,0.73088,0.85462,0.66854,0.98244,0.65594,0.97012,0.008911,0.008911,0.008911
24,1867.61,1.05407,0.72697,1.01652,0.81237,0.70334,0.8377,0.66043,0.96537,0.6542,0.96319,0.0088615,0.0088615,0.0088615
25,1945.75,1.04488,0.71389,1.01141,0.8606,0.70873,0.85125,0.67997,0.96555,0.64515,0.95436,0.008812,0.008812,0.008812
26,2025.03,1.04307,0.71268,1.00763,0.76374,0.76127,0.84387,0.66812,0.95996,0.63803,0.9574,0.0087625,0.0087625,0.0087625
27,2105.96,1.03519,0.70428,1.00378,0.84006,0.74183,0.86018,0.68,0.95093,0.62181,0.95326,0.008713,0.008713,0.008713
28,2185.52,1.02842,0.70069,1.00167,0.81071,0.72612,0.85516,0.68978,0.94753,0.61825,0.95068,0.0086635,0.0086635,0.0086635
29,2264.12,1.01919,0.68498,0.99672,0.8199,0.76745,0.86213,0.6889,0.93831,0.61437,0.94829,0.008614,0.008614,0.008614
30,2343.12,1.01763,0.68823,0.99434,0.87729,0.72192,0.87038,0.69577,0.91835,0.60671,0.93833,0.0085645,0.0085645,0.0085645
31,2421.93,1.01088,0.68067,0.99051,0.81361,0.75939,0.86315,0.68481,0.93564,0.6057,0.94035,0.008515,0.008515,0.008515
32,2502.07,1.00695,0.67732,0.98821,0.85922,0.75792,0.8805,0.70623,0.92583,0.60225,0.93941,0.0084655,0.0084655,0.0084655
33,2581.56,1.00336,0.66958,0.98645,0.80253,0.75151,0.83666,0.66114,0.91592,0.58777,0.93147,0.008416,0.008416,0.008416
34,2661.55,0.99698,0.66595,0.98339,0.84309,0.72824,0.86202,0.69515,0.9201,0.58734,0.94092,0.0083665,0.0083665,0.0083665
35,2741.83,0.99465,0.65894,0.98022,0.81653,0.79445,0.87337,0.70977,0.89955,0.58199,0.93087,0.008317,0.008317,0.008317
36,2821.02,0.98408,0.65653,0.977,0.83145,0.77298,0.87495,0.70664,0.89078,0.5734,0.92757,0.0082675,0.0082675,0.0082675
37,2901.22,0.98711,0.6587,0.9803,0.78329,0.79606,0.86556,0.66662,0.89866,0.57288,0.92341,0.008218,0.008218,0.008218
38,2980.14,0.97371,0.64832,0.97487,0.84485,0.78551,0.87675,0.70371,0.89788,0.56781,0.9277,0.0081685,0.0081685,0.0081685
39,3060.17,0.97512,0.64507,0.97284,0.85444,0.74784,0.86283,0.67493,0.89529,0.56955,0.92417,0.008119,0.008119,0.008119
40,3138.46,0.96558,0.64257,0.97257,0.75988,0.78745,0.83333,0.66318,0.88219,0.56856,0.92293,0.0080695,0.0080695,0.0080695
