epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.726,1.30871,2.06066,1.17707,1,0.901,0.95031,0.80001,1.13056,1.05015,1.07068,0.00332888,0.00332888,0.00332888
2,660.969,1.19871,1.39279,1.10599,1,0.9563,0.97772,0.81955,1.10584,0.94572,1.05866,0.00660945,0.00660945,0.00660945
3,888.381,1.21847,1.25992,1.11917,1,0.94237,0.97091,0.81948,1.12577,0.9216,1.0805,0.00983721,0.00983721,0.00983721
4,1109.73,1.20532,1.11879,1.11815,1,0.94996,0.9739,0.81634,1.1203,0.87495,1.08024,0.0097624,0.0097624,0.0097624
5,1321.29,1.16555,0.9948,1.10096,1,0.95802,0.97854,0.827,1.05589,0.82051,1.04924,0.0096832,0.0096832,0.0096832
6,1555.52,1.13471,0.92651,1.08464,1,0.95233,0.97596,0.8332,1.04421,0.79982,1.03563,0.009604,0.009604,0.009604
7,1795.08,1.11334,0.87776,1.07748,0.88366,0.85943,0.9311,0.76936,1.04325,0.77507,1.03145,0.0095248,0.0095248,0.0095248
8,2041.34,1.08873,0.84589,1.06557,0.88278,0.84296,0.91824,0.76818,1.02407,0.77795,1.02865,0.0094456,0.0094456,0.0094456
9,2299.4,1.06676,0.80569,1.05304,0.84479,0.82328,0.91108,0.73819,0.98266,0.71024,1.01284,0.0093664,0.0093664,0.0093664
10,2584.79,1.04838,0.78659,1.04785,0.85855,0.79034,0.91269,0.7365,0.98539,0.70607,1.01483,0.0092872,0.0092872,0.0092872
11,2831.99,1.03032,0.76019,1.03981,0.86427,0.90172,0.95073,0.79342,0.96019,0.69166,1.00353,0.009208,0.009208,0.009208
12,3071.78,1.0214,0.75013,1.03359,0.89466,0.85577,0.93232,0.77169,0.95288,0.67338,1.00284,0.0091288,0.0091288,0.0091288
13,3342.67,1.00578,0.7335,1.02737,0.88395,0.84723,0.92818,0.76309,0.92821,0.66006,0.98648,0.0090496,0.0090496,0.0090496
14,3579.09,0.99345,0.7139,1.02135,0.84438,0.83029,0.92902,0.75295,0.92853,0.64767,0.9861,0.0089704,0.0089704,0.0089704
15,3829.79,0.98742,0.70914,1.01904,0.88771,0.85338,0.93665,0.76205,0.91576,0.6463,0.98304,0.0088912,0.0088912,0.0088912
16,4066.99,0.97524,0.69392,1.01364,0.8936,0.89635,0.96027,0.81362,0.91211,0.6298,0.98066,0.008812,0.008812,0.008812
17,4279.56,0.96484,0.68182,1.01244,0.90462,0.85629,0.95088,0.78681,0.90052,0.60683,0.97331,0.0087328,0.0087328,0.0087328
18,4517.29,0.95192,0.67399,1.00412,0.92699,0.85406,0.96253,0.7909,0.88829,0.59597,0.96994,0.0086536,0.0086536,0.0086536
19,4768.25,0.94738,0.66245,1.00237,0.90817,0.85634,0.9548,0.78069,0.88307,0.58699,0.96563,0.0085744,0.0085744,0.0085744
20,5029.53,0.93713,0.65778,0.99894,0.88901,0.83574,0.93037,0.73957,0.87496,0.58362,0.96173,0.0084952,0.0084952,0.0084952
21,5267.45,0.93416,0.64974,0.99559,0.90091,0.87333,0.95625,0.79552,0.86409,0.58437,0.95839,0.008416,0.008416,0.008416
22,5513.55,0.92363,0.64304,0.99347,0.89806,0.88279,0.9638,0.80697,0.85881,0.57665,0.95357,0.0083368,0.0083368,0.0083368
23,5753.35,0.91071,0.63047,0.98728,0.90552,0.86161,0.96272,0.79574,0.86013,0.57972,0.95544,0.0082576,0.0082576,0.0082576
24,5983.33,0.91184,0.62714,0.98541,0.90122,0.88768,0.96503,0.80618,0.83991,0.56101,0.94545,0.0081784,0.0081784,0.0081784
25,6241.41,0.90348,0.62166,0.98441,0.8916,0.8633,0.93653,0.75536,0.83824,0.55851,0.94776,0.0080992,0.0080992,0.0080992
26,6486.13,0.88913,0.61243,0.97703,0.92335,0.84959,0.93883,0.76464,0.83554,0.5517,0.94538,0.00802,0.00802,0.00802
27,6744.98,0.88618,0.60173,0.97548,0.9021,0.88761,0.94587,0.76578,0.83685,0.53892,0.94357,0.0079408,0.0079408,0.0079408
28,7009.17,0.8802,0.60165,0.97372,0.90752,0.87612,0.94043,0.76294,0.82042,0.53311,0.93855,0.0078616,0.0078616,0.0078616
29,7283.3,0.86911,0.59135,0.97174,0.93905,0.86695,0.97007,0.81624,0.82916,0.53617,0.94446,0.0077824,0.0077824,0.0077824
30,7559.88,0.87513,0.59336,0.97181,0.94139,0.88255,0.96998,0.81902,0.81295,0.5277,0.93483,0.0077032,0.0077032,0.0077032
31,7850.3,0.86602,0.58674,0.96797,0.9286,0.88076,0.94986,0.77311,0.80918,0.52219,0.93544,0.007624,0.007624,0.007624
32,8140.52,0.86301,0.58122,0.96504,0.88556,0.89158,0.94392,0.772,0.80572,0.51859,0.93345,0.0075448,0.0075448,0.0075448
33,8462.71,0.85383,0.57705,0.96281,0.89657,0.88404,0.95036,0.77347,0.79934,0.51995,0.93224,0.0074656,0.0074656,0.0074656
34,8773.67,0.8457,0.56814,0.9593,0.92716,0.85912,0.94279,0.77109,0.79015,0.50878,0.93076,0.0073864,0.0073864,0.0073864
35,9078.19,0.843,0.56673,0.95729,0.93891,0.8688,0.95161,0.78059,0.79062,0.51146,0.92641,0.0073072,0.0073072,0.0073072
36,9385.16,0.84284,0.56465,0.95816,0.9244,0.88301,0.94867,0.77647,0.78242,0.50207,0.92616,0.007228,0.007228,0.007228
37,9631.33,0.83301,0.56116,0.95562,0.894,0.89415,0.95282,0.78212,0.77932,0.50089,0.92456,0.0071488,0.0071488,0.0071488
38,9882.43,0.8314,0.55594,0.95372,0.92366,0.88472,0.94988,0.78355,0.77755,0.49932,0.92115,0.0070696,0.0070696,0.0070696
39,10141.5,0.82877,0.55345,0.95141,0.91338,0.89028,0.94542,0.76991,0.7745,0.49695,0.92128,0.0069904,0.0069904,0.0069904
40,10384.2,0.82081,0.54579,0.95021,0.91002,0.88141,0.95008,0.77082,0.76779,0.48835,0.91863,0.0069112,0.0069112,0.0069112
