epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,2562.63,0.7123,0.50773,0.02236,0.02744,0.66817,0.70124,0.74604,0.58095,0.95849,0.72718,0.02841,0.03156,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2650.39,0.72259,0.5079,0.02216,0.02724,0.75732,0.75736,0.8325,0.6621,0.86898,0.56689,0.02819,0.03075,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2738.51,0.71886,0.50536,0.02237,0.02544,0.69559,0.71831,0.75302,0.56564,0.87714,0.60942,0.02771,0.03225,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2826.04,0.71704,0.5004,0.02227,0.02644,0.70353,0.73601,0.76942,0.57174,0.85346,0.69274,0.02773,0.03166,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2913.84,0.70513,0.49685,0.02224,0.02702,0.75778,0.77718,0.84322,0.67807,0.83474,0.54021,0.02776,0.03123,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3001.68,0.70764,0.50122,0.02226,0.02648,0.71974,0.71927,0.7564,0.57813,0.84431,0.58247,0.02787,0.03052,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3088.74,0.69234,0.48039,0.02263,0.02402,0.69861,0.71103,0.79552,0.62322,0.92129,0.67345,0.02824,0.03012,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3177.24,0.69554,0.48592,0.02228,0.02452,0.78449,0.76452,0.84682,0.67835,0.88128,0.5651,0.02787,0.02967,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3262.4,0.68841,0.47646,0.02249,0.02531,0.71464,0.74012,0.78336,0.62504,0.89502,0.65364,0.0282,0.02957,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3349.65,0.68631,0.46968,0.02249,0.02513,0.71747,0.75449,0.79372,0.59759,0.89975,0.53208,0.02781,0.02809,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3437.46,0.69042,0.47606,0.02262,0.02376,0.68097,0.7507,0.792,0.61587,0.98204,0.63546,0.02842,0.02875,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3525.47,0.68697,0.47368,0.02257,0.02422,0.76424,0.77474,0.82559,0.66506,0.71806,0.48278,0.02804,0.02914,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3611.15,0.68091,0.46048,0.02275,0.02476,0.78468,0.79999,0.83826,0.6756,0.75467,0.46557,0.02812,0.02766,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3698.26,0.67856,0.46778,0.02284,0.02457,0.76738,0.75083,0.81568,0.64144,0.79527,0.50816,0.02804,0.0284,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3786.55,0.67216,0.47056,0.02251,0.02293,0.71794,0.71886,0.76254,0.5651,0.95722,0.58662,0.02799,0.03008,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3873.84,0.67721,0.46726,0.02237,0.02419,0.72388,0.73974,0.79435,0.61188,0.98411,0.65231,0.02835,0.02976,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3962.31,0.66946,0.45677,0.02243,0.02314,0.70463,0.72168,0.76353,0.57154,0.91567,0.68293,0.02794,0.03046,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4047.79,0.66437,0.443,0.02229,0.02221,0.74907,0.76612,0.80651,0.60721,0.8661,0.55534,0.02792,0.02877,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4135.18,0.65642,0.43441,0.02238,0.02219,0.80694,0.75531,0.83746,0.64651,0.82227,0.4932,0.02784,0.02819,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4222.81,0.66222,0.43927,0.02217,0.02322,0.78681,0.74911,0.82991,0.6237,0.87661,0.52666,0.02791,0.02865,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
