epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3237.57,0.91066,0.59233,0.93828,0.92345,0.85591,0.95687,0.78658,0.84312,0.52606,0.91695,0.008581,0.008581,0.008581
45,3312.14,0.91065,0.58904,0.93859,0.89998,0.86402,0.95013,0.77845,0.85014,0.52775,0.9204,0.008548,0.008548,0.008548
46,3383.42,0.90909,0.58836,0.93716,0.88132,0.83497,0.93157,0.73449,0.84342,0.52751,0.91214,0.008515,0.008515,0.008515
47,3456.47,0.89724,0.57786,0.9329,0.91207,0.84028,0.9563,0.78049,0.85359,0.52728,0.91865,0.008482,0.008482,0.008482
48,3530.78,0.89816,0.58128,0.93272,0.89052,0.82598,0.93281,0.73497,0.84372,0.52197,0.91493,0.008449,0.008449,0.008449
49,3602.4,0.89573,0.5785,0.93249,0.90373,0.8344,0.92856,0.74018,0.83202,0.51235,0.90804,0.008416,0.008416,0.008416
50,3678.59,0.89255,0.57865,0.93147,0.92812,0.84406,0.95962,0.79008,0.83829,0.5191,0.90861,0.008383,0.008383,0.008383
51,3752.79,0.89675,0.57712,0.9297,0.91278,0.85968,0.94054,0.74941,0.8298,0.51086,0.90855,0.00835,0.00835,0.00835
52,3825.36,0.88604,0.57148,0.92937,0.90495,0.87073,0.95497,0.7967,0.82527,0.51416,0.90695,0.008317,0.008317,0.008317
53,3899.19,0.88971,0.57068,0.93154,0.89987,0.84203,0.93008,0.74005,0.82558,0.50831,0.9059,0.008284,0.008284,0.008284
54,3973.39,0.88332,0.56775,0.92895,0.90201,0.83428,0.93106,0.74771,0.81847,0.5039,0.90738,0.008251,0.008251,0.008251
55,4047.11,0.87434,0.56154,0.92559,0.90347,0.864,0.94004,0.75588,0.82181,0.50097,0.90455,0.008218,0.008218,0.008218
56,4120.59,0.87335,0.56414,0.92602,0.903,0.85685,0.93612,0.74525,0.81527,0.50172,0.9035,0.008185,0.008185,0.008185
57,4192.94,0.87066,0.56178,0.92538,0.90322,0.84851,0.9328,0.75007,0.80865,0.49523,0.89873,0.008152,0.008152,0.008152
58,4265.23,0.86957,0.56027,0.92438,0.9226,0.84779,0.94338,0.75612,0.80784,0.4974,0.90246,0.008119,0.008119,0.008119
59,4337.78,0.86698,0.55708,0.92432,0.93711,0.8362,0.94349,0.76206,0.8048,0.49288,0.90223,0.008086,0.008086,0.008086
60,4413.37,0.86742,0.55362,0.92136,0.91629,0.86732,0.94122,0.74979,0.80249,0.49191,0.89872,0.008053,0.008053,0.008053
61,4488.28,0.8559,0.54537,0.91857,0.92233,0.86251,0.9455,0.75486,0.79654,0.48603,0.89786,0.00802,0.00802,0.00802
62,4563.58,0.85569,0.5488,0.91923,0.90946,0.85716,0.94496,0.75737,0.79789,0.48743,0.89855,0.007987,0.007987,0.007987
63,4635.1,0.84787,0.54187,0.91914,0.90426,0.84026,0.92891,0.73319,0.79055,0.48151,0.89552,0.007954,0.007954,0.007954
64,4709.93,0.85758,0.55033,0.92133,0.90287,0.86833,0.94494,0.75614,0.79259,0.48713,0.90137,0.007921,0.007921,0.007921
65,4784.23,0.85049,0.5409,0.91597,0.91769,0.86397,0.94312,0.76083,0.78661,0.47938,0.89627,0.007888,0.007888,0.007888
66,4861.33,0.84708,0.54293,0.91802,0.90532,0.87488,0.94211,0.7618,0.78453,0.4773,0.89526,0.007855,0.007855,0.007855
